,Learn Result: Max Loss,Zero Loss,Random,HMM(2),HMM(3),HMM(4),HMM(5),HMM(6),Max Gain
56,-295619.2000000005,0,-584.8066666666637,12880.900000000023,14025.0,14828.199999999953,15046.29999999993,15046.29999999993,310665.50000000047
57,-185432.80000000005,0,-481.000000000017,34987.09999999998,36863.399999999965,36863.399999999965,36863.399999999965,36863.399999999965,222209.90000000005
58,-159289.80000000016,0,1275.10333333333,-702.1000000000349,1183.9000000000233,1183.9000000000233,1183.9000000000233,1183.9000000000233,143623.20000000022
59,-177149.49999999968,0,448.89000000000186,11397.899999999965,11650.700000000012,11650.700000000012,11719.900000000023,11719.900000000023,188869.39999999973
60,-159395.09999999974,0,-953.9166666666764,15915.399999999965,15915.399999999965,15915.399999999965,16125.700000000012,16125.700000000012,175520.79999999973
61,-132274.50000000035,0,1569.7533333333315,9467.5,9467.5,9467.5,9467.5,9467.5,141058.10000000033
62,-145874.70000000007,0,356.2133333333356,486.3999999999651,1171.0,1171.0,1171.0,1171.0,121347.00000000004
63,-210863.60000000015,0,1261.0699999999972,4397.000000000058,5142.5,7417.400000000198,7417.400000000198,7417.400000000198,208556.70000000013
64,-236079.60000000006,0,1537.006666666668,26282.800000000047,26282.800000000047,26282.800000000047,26282.800000000047,26282.800000000047,258701.80000000008
65,-266345.0999999995,0,1538.3000000000077,32482.699999999953,35076.0,50069.80000000022,50069.80000000022,50069.80000000022,300949.19999999955
66,-166160.30000000034,0,988.6700000000104,19987.29999999993,20341.099999999977,20341.099999999977,20348.79999999993,20348.79999999993,186509.10000000033
67,-105249.90000000034,0,1148.060000000005,1771.4999999998836,1858.3999999999069,2020.7999999999302,2140.6999999999534,2140.6999999999534,107390.60000000034
68,-133751.2999999998,0,-288.63666666666296,-382.20000000006985,-382.20000000006985,-122.5,0.0,0.0,121778.59999999986
69,-147290.40000000002,0,1057.25,67.30000000004657,544.0,731.5,731.5,731.5,145536.8
70,-189186.1000000003,0,-402.0533333333369,30314.699999999953,30469.900000000023,30469.900000000023,30529.400000000023,30529.400000000023,219715.50000000023
71,-146003.90000000029,0,-2134.3333333333235,4554.699999999953,5572.099999999977,5572.099999999977,5572.099999999977,5572.099999999977,151262.70000000033
72,-116624.59999999999,0,884.1866666666562,60.999999999883585,482.5999999999767,1588.900000001071,1588.900000001071,1588.900000001071,101933.00000000003
73,-127915.40000000015,0,474.0066666666656,3560.899999999907,3560.899999999907,16098.400000000023,16098.400000000023,16098.400000000023,131348.00000000017
74,-130550.90000000033,0,885.2766666666721,11732.400000000023,11937.199999999953,11937.199999999953,11937.199999999953,11937.199999999953,141348.50000000035
75,-147616.70000000065,0,-742.8900000000067,-632.2999999999302,-2.799999999930151,10765.800000000047,10765.800000000047,10765.800000000047,142398.90000000066
76,-120241.69999999991,0,286.7900000000009,-211.19999999995343,221.30000000004657,221.30000000004657,221.30000000004657,221.30000000004657,110172.99999999996
77,-150638.00000000023,0,-469.8333333333309,-1648.9999999998836,-446.10000000009313,3830.200000000652,3830.200000000652,3830.200000000652,145383.6000000003
78,-143877.99999999953,0,369.1233333333342,123.0,498.69999999995343,498.69999999995343,498.69999999995343,498.69999999995343,131565.3999999995
79,-154759.39999999973,0,-504.6433333333359,9591.599999999977,9591.599999999977,13768.400000000023,13768.400000000023,13768.400000000023,164986.7999999997
80,-139227.79999999984,0,-230.13000000001193,1125.5999999999767,1185.0999999999767,8344.199999999953,8344.199999999953,8344.199999999953,139251.5999999998
81,-139403.70000000024,0,-168.87333333332694,2626.20000000007,3383.3000000000466,17120.700000000303,17120.700000000303,17120.700000000303,142971.4000000002
82,-161612.89999999927,0,-1500.8499999999865,792.4000000000233,792.4000000000233,792.4000000000233,792.4000000000233,792.4000000000233,143098.59999999928
83,-167455.39999999985,0,-1419.3699999999978,-533.4000000000233,-366.19999999995343,-141.09999999997672,0.0,0.0,153351.99999999988
84,-174332.89999999994,0,1585.4400000000048,17815.59999999986,20396.699999999953,29060.999999999534,29060.999999999534,29060.999999999534,194153.7999999999
85,-133156.0000000007,0,-1313.4066666666695,792.9000000000233,826.4000000000233,826.4000000000233,826.4000000000233,826.4000000000233,128854.60000000072
86,-135644.79999999967,0,-399.1066666666641,26304.100000000093,26304.100000000093,26304.100000000093,26304.100000000093,26304.100000000093,160440.2999999997
87,-98609.4999999999,0,52.4333333333343,694.7000000000698,694.7000000000698,1784.8000000000466,1784.8000000000466,1784.8000000000466,99207.89999999994
88,-101256.00000000028,0,-1605.610000000003,-85.5,-4.800000000046566,-4.800000000046566,0.0,0.0,88457.10000000028
89,-106144.49999999997,0,1041.5299999999963,2277.5999999999767,2277.5999999999767,2385.999999999767,2385.999999999767,2385.999999999767,108081.89999999995
90,-87954.19999999991,0,-374.6866666666659,7711.400000000023,8028.70000000007,8142.0,8226.400000000023,8226.400000000023,96180.5999999999
91,-98951.20000000024,0,505.346666666667,373.29999999993015,755.9999999998836,824.5999999999767,824.5999999999767,824.5999999999767,99110.80000000024
92,-109575.80000000031,0,-1022.6966666666607,-116.0,207.90000000002328,2898.199999999837,2898.199999999837,2898.199999999837,106074.80000000032
93,-140829.3999999995,0,2942.8566666666616,-559.5,-112.5,-112.5,0.0,0.0,112378.09999999954
94,-92621.39999999978,0,109.47333333333033,49.20000000006985,49.20000000006985,107.70000000006985,107.70000000006985,107.70000000006985,82328.39999999975
95,-128122.00000000012,0,631.6366666666703,4305.099999999977,4305.099999999977,8191.500000000116,8191.500000000116,8191.500000000116,131770.1000000001
96,-107691.99999999997,0,-781.5699999999924,523.7000000000698,523.7000000000698,6591.700000000303,6591.700000000303,6591.700000000303,107547.19999999994
97,-126042.99999999974,0,-71.01333333333848,13202.300000000047,13202.300000000047,20353.79999999993,20353.79999999993,20353.79999999993,139306.89999999973
98,-108451.30000000019,0,-905.3566666666666,309.699999999837,309.699999999837,309.699999999837,309.699999999837,309.699999999837,103627.00000000019
99,-105213.69999999959,0,1171.2700000000088,4808.79999999993,4808.79999999993,6055.89999999979,6055.89999999979,6055.89999999979,108967.09999999955
100,-108863.90000000007,0,-187.06000000000253,1026.0000000001164,1048.7000000000698,3570.600000000326,3570.600000000326,3570.600000000326,105488.0000000001
101,-108802.0000000007,0,-1247.2966666666641,648.4000000000233,934.1000000000931,1108.3000000000466,1108.3000000000466,1108.3000000000466,103495.10000000075
102,-151670.19999999966,0,830.6499999999966,-79.70000000006985,-79.70000000006985,1777.2999999996973,1777.2999999996973,1777.2999999996973,147564.69999999972
103,-140736.60000000018,0,-1349.3700000000001,-1289.8000000000466,-472.9999999998836,-472.9999999998836,0.0,0.0,124810.3000000002
104,-177871.3,0,-2147.6366666666677,-746.8999999999651,102.89999999996508,7176.999999999709,7176.999999999709,7176.999999999709,160351.89999999997
105,-113151.30000000034,0,1193.1233333333269,330.20000000001164,330.20000000001164,330.20000000001164,330.20000000001164,330.20000000001164,110329.80000000032
106,-109869.00000000016,0,663.6566666666768,8311.5,8330.399999999965,14630.500000000291,14630.500000000291,14630.500000000291,118141.20000000017
107,-151489.0999999998,0,-716.6600000000084,66.29999999998836,369.70000000001164,446.70000000006985,446.70000000006985,446.70000000006985,146342.99999999988
108,-139545.49999999983,0,-288.0733333333337,3456.0999999999767,3655.5,13373.299999999756,13373.299999999756,13373.299999999756,143286.79999999978
109,-184702.89999999985,0,-273.6299999999998,4274.199999999953,4274.199999999953,12813.300000000454,12813.300000000454,12813.300000000454,178464.19999999984
110,-270927.6999999999,0,-3459.266666666668,16542.099999999977,21776.100000000035,21776.100000000035,21776.100000000035,21776.100000000035,291481.9999999999
111,-224191.79999999987,0,-3952.3533333333226,28015.399999999965,28680.900000000023,28680.900000000023,29600.099999999977,29600.099999999977,253791.89999999988
112,-170436.30000000005,0,-781.8166666666681,-1843.7000000000698,526.2999999999302,8128.199999999721,8128.199999999721,8128.199999999721,162867.09999999998
113,-163838.20000000013,0,567.0133333333409,17545.199999999953,19051.199999999953,20162.200000000186,20162.200000000186,20162.200000000186,183146.00000000012
114,-151350.9999999997,0,-587.7433333333271,-152.30000000004657,-152.30000000004657,7268.299999999697,7268.299999999697,7268.299999999697,149765.39999999973
115,-136887.00000000055,0,1590.6533333333257,11475.100000000093,11475.100000000093,11981.800000000047,11981.800000000047,11981.800000000047,148009.20000000056
116,-169307.19999999958,0,211.786666666662,-548.1999999999534,-457.5,140.80000000004657,140.80000000004657,140.80000000004657,153964.29999999958
117,-193647.49999999965,0,782.0633333333293,11003.199999999953,11112.899999999907,11634.79999999993,11634.79999999993,11634.79999999993,204823.69999999966
118,-177976.9999999994,0,-1066.9166666666667,10718.499999999884,10718.499999999884,10718.499999999884,10718.499999999884,10718.499999999884,186032.69999999937
119,-138003.80000000028,0,16.680000000007567,-494.0,-172.5,-36.199999999953434,0.0,0.0,136586.1000000003
120,-161119.99999999942,0,1118.7266666666765,-738.5,-217.0,238.90000000002328,238.90000000002328,238.90000000002328,146083.39999999944
121,-278547.40000000043,0,-1768.4033333333307,1668.2999999999302,1668.2999999999302,8201.40000000014,8201.40000000014,8201.40000000014,278906.9000000004
122,-219011.80000000045,0,4298.673333333332,35352.20000000007,51234.20000000007,53328.60000000021,53328.60000000021,53328.60000000021,270246.00000000047
123,-123694.8000000004,0,521.7833333333256,15725.29999999993,16179.699999999953,16179.699999999953,16190.699999999953,16190.699999999953,139885.5000000004
124,-96150.79999999987,0,-202.7899999999936,432.30000000004657,432.30000000004657,5192.10000000021,5192.10000000021,5192.10000000021,94543.99999999987
125,-147086.90000000055,0,-1484.6199999999978,-539.4000000000233,-88.0,-88.0,0.0,0.0,136086.1000000005
126,-138469.3999999995,0,-850.9366666666659,27569.699999999953,27569.699999999953,30255.50000000035,30255.50000000035,30255.50000000035,164756.39999999956
127,-104652.09999999955,0,-841.6366666666654,-220.5,76.59999999997672,212.59999999997672,212.59999999997672,212.59999999997672,97962.39999999954
128,-119243.2999999998,0,2084.136666666663,941.5999999999767,941.5999999999767,941.5999999999767,941.5999999999767,941.5999999999767,120052.1999999998
129,-168092.90000000014,0,708.2199999999988,1023.4000000000233,1132.3000000000466,13824.900000000605,13824.900000000605,13824.900000000605,166429.80000000016
130,-170884.49999999997,0,1136.1300000000022,12573.199999999953,14820.0,17869.200000000536,17869.200000000536,17869.200000000536,188398.39999999997
131,-109781.40000000007,0,-253.81000000000736,-1311.0000000001164,-443.4999999998836,5660.800000000279,5660.800000000279,5660.800000000279,102363.60000000008
132,-143713.09999999916,0,-1989.9700000000037,1062.6999999999534,1146.5999999999767,1146.5999999999767,1146.5999999999767,1146.5999999999767,119272.59999999915
133,-98951.00000000064,0,-281.7333333333372,-139.40000000002328,-84.40000000002328,-84.40000000002328,0.0,0.0,89248.90000000065
134,-96437.2999999996,0,612.8299999999969,540.6999999999534,622.4000000000233,4146.699999999604,4146.699999999604,4146.699999999604,93551.89999999959
135,-105792.59999999995,0,1417.826666666675,3680.1999999999534,4734.400000000023,10108.399999999558,10108.399999999558,10108.399999999558,109902.59999999995
136,-95793.20000000007,0,-546.210000000004,-3022.4000000000233,688.0999999999767,688.0999999999767,688.0999999999767,688.0999999999767,89222.60000000002
137,-101551.69999999976,0,1530.8899999999946,6997.699999999953,7264.699999999953,7847.79999999993,7847.79999999993,7847.79999999993,109142.39999999976
138,-114258.59999999964,0,-311.81000000000495,1038.1999999999534,1038.1999999999534,4944.7999999994645,4944.7999999994645,4944.7999999994645,114570.79999999965
139,-97242.2999999993,0,212.0233333333405,1527.3000000000466,2156.29999999993,2156.29999999993,2377.399999999907,2377.399999999907,99619.69999999928
140,-115022.90000000045,0,-2750.6433333333284,705.7000000000698,824.8000000000466,824.8000000000466,824.8000000000466,824.8000000000466,94231.0000000005
141,-96105.40000000045,0,-95.54666666666405,-579.1999999999534,132.69999999995343,432.1999999997206,432.1999999997206,432.1999999997206,90504.90000000042
142,-70196.29999999968,0,323.6600000000083,0.19999999995343387,25.899999999906868,670.2999999996973,670.2999999996973,670.2999999996973,68292.89999999964
143,-97328.59999999979,0,-1201.6566666666647,310.9000000000233,491.9000000000233,491.9000000000233,491.9000000000233,491.9000000000233,87797.49999999978
144,-99634.59999999977,0,762.696666666668,-569.9000000000233,-352.39999999990687,625.6999999999534,625.6999999999534,625.6999999999534,95101.59999999982
